,queries,tokens
0,چه چیزی موجب علاقمند شدن زندانبانان به امام حسن عسکری در زندان شد,"['چه', 'چیزی', 'موجب', 'علاقمند', 'شدن', 'زندانبانان', 'به', 'امام', 'حسن', 'عسکری', 'در', 'زندان', 'شد']"
1,انگشتر نقره آبی با نوشته‌های به طور خط به چه معناست,"['انگشتر', 'نقره', 'آبی', 'با', 'نوشته\u200cهای', 'به', 'طور', 'خط', 'به', 'چه', 'معناست']"
2,جدول کالری مواد غذایی برای رژیم لاغری,"['جدول', 'کالری', 'مواد', 'غذایی', 'برای', 'رژیم', 'لاغری']"
3,خلاصه فصل اول تا سوم درس انگلیسی پایه نهم,"['خلاصه', 'فصل', 'اول', 'تا', 'سوم', 'درس', 'انگلیسی', 'پایه', 'نهم']"
4,اسباب بازی لوازم آشپزخانه قاشق چنگال,"['اسباب', 'بازی', 'لوازم', 'آشپزخانه', 'قاشق', 'چنگال']"
5,نام و مشخصات تمام رییس جمهور های جمهوری اسلامی ایران در چهل سال اخیر,"['نام', 'و', 'مشخصات', 'تمام', 'رییس', 'جمهور', 'های', 'جمهوری', 'اسلامی', 'ایران', 'در', 'چهل', 'سال', 'اخیر']"
6,سریال نیسان آبی,"['سریال', 'نیسان', 'آبی']"
7,دانلود قسمت جدید سریال خاتون,"['دانلود', 'قسمت', 'جدید', 'سریال', 'خاتون']"
8,دانلود آهنگ گریه نمیکنم نه اینکه سنگم احسان خواجه امیری,"['دانلود', 'آهنگ', 'گریه', 'نمیکنم', 'نه', 'اینکه', 'سنگم', 'احسان', 'خواجه', 'امیری']"
9,کرونا در کودکان چقدر طول میکشد,"['کرونا', 'در', 'کودکان', 'چقدر', 'طول', 'میکشد']"
